time,mag,place
2020-10-30T16:31:31.654Z,2.5,"58 km S of Whites City, New Mexico"
2020-10-30T15:43:15.320Z,2.9,"57 km S of Whites City, New Mexico"
2020-10-30T12:45:56.854Z,2.9,western Texas
2020-10-30T12:22:27.180Z,3.31,"15 km SE of Lincoln, Montana"
2020-10-30T12:15:30.800Z,3.3,"15 km NW of Stanley, Idaho"
2020-10-30T11:54:57.300Z,2.67,"15 km NW of Stanley, Idaho"
2020-10-30T08:52:00.890Z,2.66,"18km SSE of Lopez Point, CA"
2020-10-30T08:02:46.090Z,2.61,"20km SE of Yosemite Valley, CA"
2020-10-30T08:02:03.830Z,3.1,"20km SE of Yosemite Valley, CA"
2020-10-30T07:28:39.220Z,2.72,"13 km W of Stanley, Idaho"
2020-10-30T06:52:11.580Z,2.64,Oklahoma
2020-10-30T03:43:48.918Z,2.8,"58 km S of Whites City, New Mexico"
2020-10-29T06:45:43.310Z,2.58,"8km ESE of Ridgecrest, CA"
2020-10-29T02:14:05.261Z,3.3,"12 km WSW of Stanley, Idaho"
2020-10-29T01:40:06.612Z,3.6,"56 km S of Whites City, New Mexico"
2020-10-29T01:03:26.449Z,2.56,"17 km SSE of Waynoka, Oklahoma"
2020-10-29T00:36:23.070Z,2.6,"12km NNE of Ocotillo, CA"
2020-10-28T20:27:39.030Z,2.58,"2km SW of Anderson Springs, CA"
2020-10-28T20:22:58.700Z,2.6,"5 km NE of Maynard, Arkansas"
2020-10-28T18:14:30.080Z,2.61,"21km ESE of Anza, CA"
2020-10-28T14:07:37.455Z,3.9,"50 km W of Mentone, Texas"
2020-10-28T10:11:27.320Z,2.54,"4 km NE of Maynard, Arkansas"
2020-10-28T08:07:29.104Z,2.8,"59 km S of Whites City, New Mexico"
2020-10-28T07:42:44.956Z,2.6,"30 km SW of Coyanosa, Texas"
2020-10-28T00:23:06.426Z,2.5,"58 km S of Whites City, New Mexico"
2020-10-27T23:18:51.850Z,2.82,"18km SSE of Lone Pine, CA"
2020-10-27T20:48:01.566Z,2.7,"50 km W of Mentone, Texas"
2020-10-27T19:22:43.900Z,3.29,"11km NE of Pinnacles, CA"
2020-10-27T15:23:00.889Z,2.6,"6 km S of Burns, Kansas"
2020-10-27T08:20:48.100Z,2.61,"31 km NW of Stanley, Idaho"
2020-10-27T05:46:54.630Z,3.19,"43 km NW of Stanley, Idaho"
2020-10-27T05:45:59.765Z,3.1,"31 km SE of Mina, Nevada"
2020-10-27T01:26:16.840Z,3.3,"22km NW of Ludlow, CA"
2020-10-27T00:02:18.930Z,2.53,"5 km ENE of Maynard, Arkansas"
2020-10-26T17:04:57.041Z,2.6,"31 km S of Mina, Nevada"
2020-10-26T13:38:36.600Z,3.46,"13km E of Angwin, CA"
2020-10-26T10:41:32.598Z,2.7,"32 km SE of Mina, Nevada"
2020-10-26T09:28:32.508Z,2.9,"46 km SSE of Yellow Pine, Idaho"
2020-10-26T07:24:21.030Z,2.63,"23km NW of Ludlow, CA"
2020-10-26T06:08:55.858Z,3,"6 km NNE of Hope, Kansas"
2020-10-26T00:07:03.060Z,2.57,"6 km ENE of Maynard, Arkansas"
