STATE,YEAR,MONTH_NAME,EVENT_TYPE
LOUISIANA,2001,January  ,Winter Storm
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Frost/Freeze
ILLINOIS,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Frost/Freeze
ILLINOIS,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
ILLINOIS,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
IOWA,2001,January  ,Heavy Snow
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
TEXAS,2001,January  ,Drought
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
CALIFORNIA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,Drought
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
NEW YORK,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
TEXAS,2001,January  ,Heavy Snow
HAWAII,2001,January  ,Drought
HAWAII,2001,January  ,Drought
HAWAII,2001,January  ,Drought
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
